Piece,Type,Key,Difficulty,Date,Ensemble
Ma che? Squalido,lament lute song,CM,2.0,1609,8-course 6-course bass viol alto
Piangono al pianger mio,lute song lament,Gm,3.0,1609,8-course 6-course bass viol soprano
Piangono al pianger mio,lute song lament,Gm,3.0,1609,8-course 6-course bass viol soprano
Piangono al pianger mio,lute song lament,Gm,3.0,1609,8-course 6-course bass viol soprano
Piangono al pianger mio,lute song lament,Gm,3.0,1609,8-course 6-course bass viol soprano
Piangono al pianger mio,lute song lament,Gm,3.0,1609,8-course 6-course bass viol soprano
Piangono al pianger mio,lute song lament,Gm,3.0,1609,8-course 6-course bass viol soprano
Piangono al pianger mio,lute song lament,Gm,3.0,1609,8-course 6-course bass viol soprano
Piangono al pianger mio,lute song lament,Gm,3.0,1609,8-course 6-course bass viol soprano
Torna il sereno Zefiro,lute song,GM,3.0,1623,archlute 6-course bass viol soprano
Torna il sereno Zefiro,lute song,GM,3.0,1623,archlute 6-course bass viol soprano
Torna il sereno Zefiro,lute song,GM,3.0,1623,archlute 6-course bass viol soprano
Torna il sereno Zefiro,lute song,GM,3.0,1623,archlute 6-course bass viol soprano
Belindas pretty pleasing form,lute song,DM,3.0,1697,8-course 6-course bass viol soprano
Belindas pretty pleasing form,lute song,DM,3.0,1697,8-course 6-course bass viol soprano
Belindas pretty pleasing form,lute song,DM,3.0,1697,8-course 6-course bass viol soprano
Belindas pretty pleasing form,lute song,DM,3.0,1697,8-course 6-course bass viol soprano
4-voiced chord articulation exercise,exercise,CM,3.0,2011,6-course
Adduction exercise,exercise,CM,3.0,2011,6-course
Division Practice in C,exercise,CM,3.0,2011,6-course
Fingering Easy Scales,exercise,CM,3.0,2011,6-course
Some Common 16th Century Grounds,exercise,Dm,1.0,2002,6-course
17th Century Grounds,exercise,Dm,1.0,2002,6-course
Left Hand Exercises Exercise 1,exercise,Dm,1.0,2002,6-course
Left Hand Exercises,exercise,Dm,1.0,2002,6-course
Right Hand Exercises 2011,exercise,Gm,1.0,2011,6-course
Right Hand Exercises 1984,exercise,Dm,1.0,2002,6-course
Right Hand Exercises 1985,exercise,Dm,1.0,2002,6-course
Right Hand Exercises,exercise,Dm,1.0,2002,6-course
Ut re mi fa sol la,ut re mi fa sol la,BbM,4.0,c.1595,6-course
